"Product Name","Price","List Price","Delivery","Availability"
"Dell USB 3.0 Ultra HD/4K Triple Display Docking Station (D3100), Black","$108","$169.99","$19.48 delivery Jul 16 - Aug 5","Only 2 left in stock - order soon."
"Anker Docking Station, Anker 575 USB-C Docking Station (13-in-1), Triple Display, 4K HDMI, 10 Gbps USB-C and 5 Gbps USB-A Data, 85W Charging for Laptop, 18W Charging for Phone, Ethernet, Audio, SD 3.0","$111.99","","","(5 used & new offers)"
"Amazon Basics - Laptop Stand for Desk, Portable and Adjustable Laptop Riser, Holds All Laptops and Notebook up to 17.3 Inch, Silver","$28","$49","Delivery Fri, Jun 28","Ships to Tunisia"
"CalDigit TS4 Thunderbolt 4 Dock - 18 Ports, 98W Charging, 40Gb/s Thunderbolt 4, USB-A/C, 2.5GbE, 8K/6K Displays, Mac/PC/Chrome Compatible","$399","$449.95","$56.81 delivery","Ships to Tunisia"
"Lenovo Laptop Bag T210, Messenger Shoulder Bag for Laptop or Tablet, Sleek, Durable & Water-Repellent Fabric","$13","$19.99","Delivery Fri, Jun 28","Ships to Tunisia"
"JanSport Laptop Backpack - Computer Bag with 2 Compartments, Ergonomic Shoulder Straps, 15” Laptop Sleeve, Haul Handle - Book Rucksack - Black","$54","$99","Delivery Fri, Jun 28","Ships to Tunisia"
"HP USB-C Dock G5, 5TW10AA#ABB, Wired, For Notebook","$135","$42","$55.61 delivery","Ships to Tunisia"
"Amazon Basics 15.6-Inch Laptop Computer and Tablet Shoulder Bag Carrying Case,1 Pack , Black","$14","$16.83","Delivery Fri, Jun 28","Ships to Tunisia"
"Della Gao Travel Laptop Backpack, Extra Large Anti Theft Backpack for Men and Women with USB Charging Port, Water Resistant Big Business Computer Backpack Bag Fit 17 Inch Laptop, Black","$37","$86","Delivery Fri, Jun 28","Ships to Tunisia"
"Carhartt 21L Backpack, Durable Water-Resistant Pack with Laptop Sleeve, Black, One Size","$39","$99","Delivery Fri, Jun 28","Ships to Tunisia"
"SwissGear 1900 Scansmart TSA 17 Laptop Backpack, Black, 19-Inch","$89","$99","Delivery Fri, Jun 28","Ships to Tunisia"
"MATEIN Travel Laptop Backpack, 17 inch Business Flight Approved Carry on Backpack, TSA Large Computer Backpack for Men Women with USB Port & Trolley Sleeve, College School Rucksack Book Bag, Grey","$35","$39.99","Delivery Fri, Jun 28","Only 3 left in stock - order soon."
"Targus 15-16 Inch Classic Slim Ergonomic Briefcase and Messenger Bag for 16" Laptops and Under (TCT027US)","$20","$24.41","Delivery Fri, Jun 28","Ships to Tunisia"
"KROSER Travel Laptop Backpack 17.3 Inch XL Computer Backpack with Hard Shell Saferoom RFID Pockets Water-Repellent Business College Daypack Stylish Bag for Men/Women-Black","$46","$99","$80.02 delivery","Only 2 left in stock - order soon."
"JanSport Cool Backpack, with 15-inch Laptop Sleeve - Large Computer Bag Rucksack with 2 Compartments, Ergonomic Straps, Black","$59","$99","Delivery Fri, Jun 28","Ships to Tunisia"
"Lenovo ThinkPad Universal Thunderbolt 4 Dock, 4 Displays, Dynamic Power Charging up to 100W, Black","$223","$79","Delivery Fri, Jun 28","Ships to Tunisia"
"Lenovo 65w USB Type C Ac Adapter 4X20M26268 With 2 Prong Power Cord Included, Black In The Original Retail Packaging.","$50","$59.99","Delivery Fri, Jun 28","Ships to Tunisia"
"Mac Book Pro Charger, 100W USB C Charger, Anker Compact and Foldable Fast Charger for MacBook Air, Samsung Galaxy, iPad Pro, and All USB C Devices, 5 ft USB C to USB C Cable Included","$29","$99","$43.38 delivery","Ships to Tunisia"
"Dell Performance Dock - WD19DCS Docking Station with 240W Power Adapter For Monitors (Provides 210W Power Delivery; 90W to Non-Dell Systems)","$220","$404.99","Delivery Fri, Jun 28","Only 2 left in stock - order soon."
"Lenovo Laptop Backpack B210, 15.6-Inch Laptop/Tablet, Durable, Water-Repellent, Lightweight, Clean Design, Sleek for Travel, Business Casual or College, GX40Q17225, Black","$15","$21.99","Delivery Fri, Jun 28","Ships to Tunisia"
"SUPACOOL Lightweight Casual Laptop Backpack with USB Charging Port for Men and Women, Daily use backpack, Backpack for College (Full Black)","$22","$99","Delivery Fri, Jun 28","Only 6 left in stock - order soon."
"Carhartt 25L Classic Backpack, Durable Water-Resistant Pack with Laptop Sleeve, Black, One Size","$59","$99","Delivery Fri, Jun 28","Ships to Tunisia"
"Lenovo Laptop Carrying Case T210, 15.6-Inch Laptop and Tablet, Sleek Design, Durable and Water-Repellent Fabric, Business Casual or School, GX40Q17231 Casual Toploader - Grey","$14","$19.99","Delivery Fri, Jun 28","Ships to Tunisia"
"JanSport Cool Backpack, with 15-inch Laptop Sleeve - Large Computer Bag Rucksack with 2 Compartments, Ergonomic Straps, Navy","$59","$99","Delivery Fri, Jun 28","Ships to Tunisia"
